Date,Organization,Latitude (bottom),Longitude (bottom),Latitude (top),Longitude (top),Elevation bottom (ft),Elevation top (ft),Stream,Location,Origin,Method,OrganismType,Species,Common Name,Count,Size Range (cm),Notes (during / post capture),~ Biomass (lbs),HSIBI Score,
5/5/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),Non-native,Opae / A-Frame Net,Vertebrate,Poecilia reticulata,Rainbow Guppy,23,NA,Removed from study site,NA,NA,
5/5/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),Non-native,Opae / A-Frame Net,Vertebrate,Ancistrus temminckii,Bristlenose / Bushynose Plecostomus,7,NA,Removed from study site,NA,NA,
5/5/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),Non-native,Opae / A-Frame Net,Vertebrate,Xiphophorus helleri,Green Swordtail,2,NA,Removed from study site,NA,NA,
5/5/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),Non-native,Opae / A-Frame Net,Invertebrate,Neocaridina denticulata sinensis,Japanese Swamp Shrimp,17,NA,Removed from study site,NA,NA,
5/5/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),Non-native,Opae / A-Frame Net,Invertebrate,Procambarus clarkii,Swamp Crayfish,3,NA,Removed from study site,NA,NA,
5/5/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),NA,Opae / A-Frame Net,NA,NA,NA,52,NA,Summary,0.10,NA,
5/5/2015,Iolani School ,21.30973,-157.80943,21.31090,-157.80879,168,172,Manoa,Manoa Marketplace,Non-native,Opae / A-Frame Net,Vertebrate,Hypostomus watwata,Suckermouth Catfish / Plecostomus,87,NA,Removed from study site,NA,NA,
5/5/2015,Iolani School ,21.30973,-157.80943,21.31090,-157.80879,168,172,Manoa,Manoa Marketplace,Non-native,Opae / A-Frame Net,Vertebrate,Ancistrus temminckii,Bristlenose / Bushynose Plecostomus,42,NA,Removed from study site,NA,NA,
5/5/2015,Iolani School ,21.30973,-157.80943,21.31090,-157.80879,168,172,Manoa,Manoa Marketplace,Non-native,Opae / A-Frame Net,Vertebrate,Poecilia sphenops,Mexican Molly,27,NA,Removed from study site,NA,NA,
5/5/2015,Iolani School ,21.30973,-157.80943,21.31090,-157.80879,168,172,Manoa,Manoa Marketplace,NA,Opae / A-Frame Net,NA,NA,NA,156,NA,Summary,1.90,NA,
9/22/2015,Iolani School ,21.28555,-157.82913,21.28441,-157.82800,12,12,NA,Ala Wai Canal,Native,Plankton Tow,Invertebrate,Palaemon debilis,Opae huna,1,NA,Returned live to capture location,NA,NA,
9/22/2015,Iolani School ,21.28555,-157.82913,21.28441,-157.82800,12,12,NA,Ala Wai Canal,Native,Hester Dendy Plates,Invertebrate,Palaemon pacificus,Tiger Shrimp,1,NA,Returned live to capture location,NA,NA,
9/22/2015,Iolani School ,21.28555,-157.82913,21.28441,-157.82800,12,12,NA,Ala Wai Canal,Native,Crab Trap,Invertebrate,Thalamita crenata,Blue Pincher Crab,1,NA,Returned live to capture location,NA,NA,
9/22/2015,Iolani School ,21.28555,-157.82913,21.28441,-157.82800,12,12,NA,Ala Wai Canal,Non-native,Crab Trap,Invertebrate,Scylla serrata,Samoan Crab,1,NA,Returned live to capture location,NA,NA,
9/22/2015,Iolani School ,21.28555,-157.82913,21.28441,-157.82800,12,12,NA,Ala Wai Canal,Non-native,Crab Trap,Vertebrate,Sarotherodon melanotheron,Black Chin Tilapia,7,NA,Removed from study site,NA,NA,
10/6/2015,Iolani School ,21.28555,-157.82913,21.28441,-157.82800,12,12,NA,Ala Wai Canal,Native,Hester Dendy Plates,Invertebrate,Neritina vespertina,Hapawai,1,NA,Returned live to capture location,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Native,Opae / A-Frame Net,Vertebrate,Stenogobius hawaiiensis,Oopu Naniha,3,NA,Returned live to capture location,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Native,Opae / A-Frame Net,Vertebrate,Eleotris sandwicensis,Oopu Akupa,4,NA,Returned live to capture location,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Native,Opae / A-Frame Net,Invertebrate,Macrobrachium grandimanus,Opae Oehaa,3,NA,Returned live to capture location,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Native,Opae / A-Frame Net,Invertebrate,Neritina vespertina,Hapawai,4,NA,Returned live to capture location,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Native,Opae / A-Frame Net,Vertebrate,Kuhlia xenura,Aholehole / Hawaiian Flagtail,2,NA,Returned live to capture location,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Non-native,Opae / A-Frame Net,Vertebrate,Hypostomus watwata,Suckermouth Catfish / Plecostomus,1,NA,Removed from study site,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Non-native,Opae / A-Frame Net,Vertebrate,Ancistrus temminckii,Bristlenose / Bushynose Plecostomus,1,NA,Removed from study site,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Non-native,Opae / A-Frame Net,Vertebrate,Poecilia sphenops,Mexican Molly,4,NA,Removed from study site,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Non-native,Opae / A-Frame Net,Vertebrate,Amatitlania nigrofasciata,Convict Cichlid,1,NA,Removed from study site,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Non-native,Opae / A-Frame Net,Vertebrate,Sarotherodon melanotheron,Black Chin Tilapia,12,NA,Removed from study site,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,Non-native,Opae / A-Frame Net,Vertebrate,Gambusia affinis,Mosquitofish,5,NA,Removed from study site,NA,NA,
11/6/2015,Iolani School ,21.28639,-157.81888,21.28728,-157.81799,18,19,Manoa-Palolo,Kaimuki  High School,NA,Opae / A-Frame Net,NA,NA,NA,40,NA,Summary,0.20,NA,
11/6/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),Non-native,Opae / A-Frame Net,Vertebrate,Ancistrus temminckii,Bristlenose / Bushynose Plecostomus,4,NA,Removed from study site,NA,NA,
11/6/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),Non-native,Opae / A-Frame Net,Vertebrate,Xiphophorus helleri,Green Swordtail,1,NA,Removed from study site,NA,NA,
11/6/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),Non-native,Opae / A-Frame Net,Vertebrate,Poecilia reticulata,Rainbow Guppy,19,NA,Removed from study site,NA,NA,
11/6/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),Non-native,Opae / A-Frame Net,Invertebrate,Procambarus clarkii,Swamp Crayfish,1,NA,Removed from study site,NA,NA,
11/6/2015,Iolani School ,21.32792,-157.79959,21.32748,-157.79980,332,335,Manoa,Waiakeakua (USGS Gage),Non-native,Opae / A-Frame Net,Invertebrate,Neocaridina denticulata sinensis,Japanese Swamp Shrimp,5,NA,Removed from study site,NA,NA,
