genus,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,order,family,tax
Rothia,89,562,159,854,403,462,560,151,64,96,293,242,127,4062,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia
Bacillus,198,192,0,353,449,482,258,119,409,197,297,1372,265,4591,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus
Gemella,0,549,100,384,432,602,62,274,74,171,39,60,184,2931,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Gemellaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella
Staphylococcus,0,339,90,301,258,470,82,383,196,207,196,122,261,2905,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Streptococcus,850,8426,2046,4046,7498,11029,3723,4279,2859,3725,6084,4204,3613,62382,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
Clostridioides,177,406,588,209,549,431,1041,490,336,823,465,572,542,6629,Bacteria,Bacteria_none,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Clostridioides
Veillonella,202,1810,641,786,1222,2662,82,3279,2241,4921,4977,5549,2751,31123,Bacteria,Bacteria_none,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
Prevotella,0,264,50,185,218,552,0,295,448,537,586,1210,104,4449,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
Neisseria,0,671,1620,527,1343,0,132,3451,2475,3480,505,219,2615,17038,Bacteria,Bacteria_none,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria
Escherichia,575,339,1215,375,211,316,2872,1127,612,616,0,346,1483,10087,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
Salmonella,2106,0,2625,0,0,0,3577,0,0,0,0,0,0,8308,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella
Haemophilus,18,477,226,507,184,343,85,1484,1029,457,195,505,1056,6566,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus
Pseudomonas,2848,0,3912,0,0,0,13912,56,82,0,0,0,57,20867,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Unknown,2224,5550,4667,4553,5356,7076,7109,7779,5065,7598,6619,7217,6996,77809,Unclassified,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
