Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description	Hierarchy node
AOKDPPHH_00966	contig_2	953900	955393	+	emrC	multidrug efflux transporter outer membrane subunit EmrC	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	497	497	100.00	92.76	497	CAQ45062.1	multidrug efflux transporter outer membrane subunit EmrC	NA	NA	emrC
AOKDPPHH_00967	contig_2	955405	956583	+	emrA	multidrug efflux MFS transporter periplasmic adaptor subunit EmrA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	392	393	100.00	96.44	393	CAQ45063.1	multidrug efflux MFS transporter periplasmic adaptor subunit EmrA	NA	NA	emrA-sm
AOKDPPHH_00968	contig_2	956591	958177	+	emrB	multidrug efflux MFS transporter permease subunit EmrB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	528	528	100.00	96.59	528	CAQ45064.1	multidrug efflux MFS transporter permease subunit EmrB	NA	NA	emrB-sm
AOKDPPHH_01625	contig_2	1619535	1620347	-	aph(6)	APH(6) family putative aminoglycoside O-phosphotransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	HMM	270	270	99.63	86.99	269	WP_012480135.1	APH(6) family putative aminoglycoside O-phosphotransferase	NF012160.0	APH(6) family putative aminoglycoside O-phosphotransferase	aph(6)-Smalt
AOKDPPHH_01726	contig_2	1719052	1720320	-	copB	copper-binding protein CopB	plus	STRESS	METAL	COPPER	COPPER	EXACTP	422	422	100.00	100.00	422	ADR70748.1	copper-binding protein CopB	NA	NA	bind_CopB
AOKDPPHH_01727	contig_2	1720317	1721987	-	copA	laccase-like oxidase CopA	plus	STRESS	METAL	COPPER	COPPER	PARTIALP	556	623	89.25	99.28	556	ADR70747.1	laccase-like oxidase CopA	NA	NA	multi_CopA
AOKDPPHH_01875	contig_2	1863183	1864112	+	blaL1	L1 family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	HMM	309	290	99.66	79.24	289	WP_063842688.1	L1 family subclass B3 metallo-beta-lactamase	NF033106.1	L1 family subclass B3 metallo-beta-lactamase	blaL1
AOKDPPHH_02733	contig_2	2724952	2725419	-	aac(6')	aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	BLASTP	155	155	100.00	98.71	155	WP_053518652.1	aminoglycoside 6'-N-acetyltransferase	NF033075.0	aminoglycoside 6'-N-acetyltransferase	aac(6')_Steno
AOKDPPHH_02910	contig_2	2886363	2887274	-	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	303	304	100.00	69.41	304	WP_063842700.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	bla-A
AOKDPPHH_03256	contig_2	3253719	3254645	-	smeF	multidrug efflux RND transporter outer membrane subunit SmeF	plus	AMR	AMR	QUINOLONE	QUINOLONE	PARTIALP	308	466	59.87	89.96	279	CAC14596.1	multidrug efflux RND transporter outer membrane subunit SmeF	NA	NA	smeF
AOKDPPHH_03579	contig_2	3563633	3564148	+	arr	NAD(+)--rifampin ADP-ribosyltransferase	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	HMM	171	150	88.67	51.88	133	WP_063857694.1	NAD(+)--rifampin ADP-ribosyltransferase	NF033144.1	NAD(+)--rifampin ADP-ribosyltransferase	arr
