BLAST_out_clusters
11	863		99.512	205	1	0	1.39e	105	374	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
12	801		98.551	207	1	2	8.26e	103	364	Amatitlania	nigrofasciata	voucher	AN15758	small	subunit	ribosomal	RNA	gene,	partial	sequence;	mitochondrial	OK576391.1
13	363		97.696	217	4	1	5.41e	105	372	Poecilia	sphenops	mitochondrial	DNA,	complete	genome	ref|NC_026579.1|
13	95		98.537	205	1	2	1.06e	101	361	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
16	495		98.058	206	0	4	4.97e	100	355	Amatitlania	nigrofasciata	voucher	AN15758	small	subunit	ribosomal	RNA	gene,	partial	sequence;	mitochondrial	OK576391.1
25	118		99.078	217	1	1	5.24e	110	388	Amatitlania	nigrofasciata	voucher	AN15758	small	subunit	ribosomal	RNA	gene,	partial	sequence;	mitochondrial	OK576391.1
42	415		98.182	220	3	1	2.56e	108	383	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
5	1249		97.073	205	3	3	3.85e	96	342	Amatitlania	nigrofasciata	voucher	AN15758	small	subunit	ribosomal	RNA	gene,	partial	sequence;	mitochondrial	OK576391.1
5	183		95.516	223	5	5	7.05e	99	351	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
5	412		98.636	220	2	1	6.23e	110	388	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
5	585		97.758	223	1	2	9.25e	108	381	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
5	636		95.814	215	3	5	4.12e	96	342	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
5	922		96.347	219	6	2	4.17e	101	359	Amatitlania	nigrofasciata	voucher	AN15758	small	subunit	ribosomal	RNA	gene,	partial	sequence;	mitochondrial	OK576391.1
5	969		97.101	207	3	3	3.23e	97	346	Amatitlania	nigrofasciata	voucher	AN15758	small	subunit	ribosomal	RNA	gene,	partial	sequence;	mitochondrial	OK576391.1
6	488		97.696	217	5	0	1.65e	105	374	Amatitlania	nigrofasciata	voucher	AN15758	small	subunit	ribosomal	RNA	gene,	partial	sequence;	mitochondrial	OK576391.1
6	704		98.049	205	1	3	1.78e	99	353	Micropterus	dolomieu	mitochondrion,	complete	genome	ref|NC_011361.1|
6	804		95.089	224	2	8	1.19e	96	344	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
7	757		97.573	206	3	1	6.36e	99	351	Amatitlania	nigrofasciata	voucher	AN15758	small	subunit	ribosomal	RNA	gene,	partial	sequence;	mitochondrial	OK576391.1
8	282		97.727	220	1	3	4.06e	106	375	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
8	283		98.157	217	2	1	1.13e	106	377	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
80	222		100.000	208	0	0	6.41e	109	385	Ancistrus	temminckii	mitochondrion,	complete	genome	ref|NC_051963.1|
9	155		98.182	220	1	2	8.95e	108	381	Amatitlania	nigrofasciata	voucher	AN15758	small	subunit	ribosomal	RNA	gene,	partial	sequence;	mitochondrial	OK576391.1
	
