locus_tag	ftype	length_bp	gene	EC_number	COG	product
AOKDPPHH_00001	rRNA	105				5S ribosomal RNA
AOKDPPHH_00002	CDS	1716				hypothetical protein
AOKDPPHH_00003	CDS	663				hypothetical protein
AOKDPPHH_00004	CDS	1008				hypothetical protein
AOKDPPHH_00005	CDS	297	envC		COG4942	Murein hydrolase activator EnvC
AOKDPPHH_00006	CDS	1521				hypothetical protein
AOKDPPHH_00007	CDS	693				hypothetical protein
AOKDPPHH_00008	CDS	1422	ompP1		COG2067	Outer membrane protein P1
AOKDPPHH_00009	CDS	600	pnuC_1		COG3201	Nicotinamide riboside transporter PnuC
AOKDPPHH_00010	CDS	3258	putA		COG0506	Bifunctional protein PutA
AOKDPPHH_00011	CDS	360				hypothetical protein
AOKDPPHH_00012	CDS	138				hypothetical protein
AOKDPPHH_00013	CDS	636	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
AOKDPPHH_00014	CDS	1608	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
AOKDPPHH_00015	CDS	207				hypothetical protein
AOKDPPHH_00016	CDS	591	ctaG			Cytochrome c oxidase assembly protein CtaG
AOKDPPHH_00017	CDS	876	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
AOKDPPHH_00018	CDS	480				hypothetical protein
AOKDPPHH_00019	CDS	333				hypothetical protein
AOKDPPHH_00020	CDS	570				hypothetical protein
AOKDPPHH_00021	CDS	1014	ctaA	1.3.-.-		Heme A synthase
AOKDPPHH_00022	CDS	198				hypothetical protein
AOKDPPHH_00023	CDS	894	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
AOKDPPHH_00024	CDS	375				hypothetical protein
AOKDPPHH_00025	CDS	606				hypothetical protein
AOKDPPHH_00026	CDS	972				hypothetical protein
AOKDPPHH_00027	CDS	501				hypothetical protein
AOKDPPHH_00028	CDS	1740	dnaG	2.7.7.-	COG0358	DNA primase
AOKDPPHH_00029	CDS	927				hypothetical protein
AOKDPPHH_00030	CDS	138				hypothetical protein
AOKDPPHH_00031	CDS	462				hypothetical protein
AOKDPPHH_00032	CDS	447	yqeY		COG1610	putative protein YqeY
AOKDPPHH_00033	CDS	216	rpsU		COG0828	30S ribosomal protein S21
AOKDPPHH_00034	CDS	984	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
AOKDPPHH_00035	CDS	354	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
AOKDPPHH_00036	CDS	1272				hypothetical protein
AOKDPPHH_00037	CDS	2175		3.2.1.-		Beta-xylosidase
AOKDPPHH_00038	CDS	516				hypothetical protein
AOKDPPHH_00039	CDS	1185	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
AOKDPPHH_00040	CDS	450	yiaA		COG4682	Inner membrane protein YiaA
AOKDPPHH_00041	CDS	345				hypothetical protein
AOKDPPHH_00042	CDS	1299	yhdG_1		COG0531	putative amino acid permease YhdG
AOKDPPHH_00043	CDS	777				hypothetical protein
AOKDPPHH_00044	CDS	846	murR		COG1737	HTH-type transcriptional regulator MurR
AOKDPPHH_00045	CDS	1032		5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
AOKDPPHH_00046	CDS	1437				hypothetical protein
AOKDPPHH_00047	CDS	1461				hypothetical protein
AOKDPPHH_00048	CDS	3000				hypothetical protein
AOKDPPHH_00049	CDS	576				hypothetical protein
AOKDPPHH_00050	CDS	975				hypothetical protein
AOKDPPHH_00051	CDS	585	vanX	3.4.13.22		D-alanyl-D-alanine dipeptidase
AOKDPPHH_00052	CDS	372				hypothetical protein
AOKDPPHH_00053	CDS	408				hypothetical protein
AOKDPPHH_00054	CDS	819				hypothetical protein
AOKDPPHH_00055	CDS	489				hypothetical protein
AOKDPPHH_00056	CDS	1080			COG5383	putative protein
AOKDPPHH_00057	CDS	1515		2.8.3.18		Succinyl-CoA:acetate CoA-transferase
AOKDPPHH_00058	CDS	2796	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
AOKDPPHH_00059	CDS	567	yhhQ		COG1738	Queuosine precursor transporter
AOKDPPHH_00060	CDS	699				hypothetical protein
AOKDPPHH_00061	CDS	591	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
AOKDPPHH_00062	CDS	711	yceI_1			Protein YceI
AOKDPPHH_00063	CDS	402				hypothetical protein
AOKDPPHH_00064	CDS	825				hypothetical protein
AOKDPPHH_00065	CDS	798	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
AOKDPPHH_00066	CDS	558				hypothetical protein
AOKDPPHH_00067	CDS	2688	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
AOKDPPHH_00068	CDS	891				hypothetical protein
AOKDPPHH_00069	CDS	933				hypothetical protein
AOKDPPHH_00070	CDS	1395				hypothetical protein
AOKDPPHH_00071	CDS	369				hypothetical protein
AOKDPPHH_00072	CDS	210				hypothetical protein
AOKDPPHH_00073	CDS	1140	yncE		COG3391	putative protein YncE
AOKDPPHH_00074	CDS	915				hypothetical protein
AOKDPPHH_00075	CDS	594				hypothetical protein
AOKDPPHH_00076	CDS	1851				hypothetical protein
AOKDPPHH_00077	CDS	678				hypothetical protein
AOKDPPHH_00078	CDS	678				hypothetical protein
AOKDPPHH_00079	CDS	477				hypothetical protein
AOKDPPHH_00080	CDS	813	bpoA2	1.11.1.-		Non-haem bromoperoxidase BPO-A2
AOKDPPHH_00081	CDS	171				hypothetical protein
AOKDPPHH_00082	CDS	312				hypothetical protein
AOKDPPHH_00083	CDS	645				hypothetical protein
AOKDPPHH_00084	CDS	969				hypothetical protein
AOKDPPHH_00085	CDS	852				hypothetical protein
AOKDPPHH_00086	CDS	417				hypothetical protein
AOKDPPHH_00087	CDS	285				hypothetical protein
AOKDPPHH_00088	CDS	975	czcD_1		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
AOKDPPHH_00089	CDS	285	rcnR		COG1937	Transcriptional repressor RcnR
AOKDPPHH_00090	CDS	378				hypothetical protein
AOKDPPHH_00091	CDS	1326	yciC		COG0523	Putative metal chaperone YciC
AOKDPPHH_00092	CDS	1611	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
AOKDPPHH_00093	CDS	420	pgrR_1			HTH-type transcriptional regulator PgrR
AOKDPPHH_00094	CDS	327				hypothetical protein
AOKDPPHH_00095	CDS	1179	estB_1	3.1.1.-	COG1680	Esterase EstB
AOKDPPHH_00096	CDS	1185	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
AOKDPPHH_00097	CDS	897	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
AOKDPPHH_00098	CDS	765				hypothetical protein
AOKDPPHH_00099	CDS	204	cycA		COG1113	D-serine/D-alanine/glycine transporter
AOKDPPHH_00100	CDS	777	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
AOKDPPHH_00101	CDS	1089				hypothetical protein
AOKDPPHH_00102	CDS	234				hypothetical protein
AOKDPPHH_00103	CDS	1335	vgb	4.2.99.-		Virginiamycin B lyase
AOKDPPHH_00104	CDS	798				hypothetical protein
AOKDPPHH_00105	CDS	405				hypothetical protein
AOKDPPHH_00106	CDS	468				hypothetical protein
AOKDPPHH_00107	CDS	423				hypothetical protein
AOKDPPHH_00108	CDS	411				hypothetical protein
AOKDPPHH_00109	CDS	357	ybaA_1		COG5507	putative protein YbaA
AOKDPPHH_00110	CDS	1269				hypothetical protein
AOKDPPHH_00111	CDS	1650				hypothetical protein
AOKDPPHH_00112	CDS	1263				hypothetical protein
AOKDPPHH_00113	CDS	768	btsR		COG3279	Transcriptional regulatory protein BtsR
AOKDPPHH_00114	CDS	258				hypothetical protein
AOKDPPHH_00115	CDS	615				hypothetical protein
AOKDPPHH_00116	CDS	2112	pepO_1	3.4.24.-	COG3590	Neutral endopeptidase
AOKDPPHH_00117	CDS	2952				hypothetical protein
AOKDPPHH_00118	CDS	882	dmlR_1			HTH-type transcriptional regulator DmlR
AOKDPPHH_00119	CDS	411				hypothetical protein
AOKDPPHH_00120	CDS	789	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
AOKDPPHH_00121	CDS	1644	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
AOKDPPHH_00122	CDS	273				hypothetical protein
AOKDPPHH_00123	CDS	543				hypothetical protein
AOKDPPHH_00124	CDS	498				hypothetical protein
AOKDPPHH_00125	CDS	939	motB_1		COG1360	Motility protein B
AOKDPPHH_00126	CDS	855	motA		COG1291	Motility protein A
AOKDPPHH_00127	CDS	468	msrB_1	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
AOKDPPHH_00128	CDS	375				hypothetical protein
AOKDPPHH_00129	CDS	168				hypothetical protein
AOKDPPHH_00130	CDS	480	lrp_1		COG1522	Leucine-responsive regulatory protein
AOKDPPHH_00131	CDS	1305	dadA1_1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
AOKDPPHH_00132	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
AOKDPPHH_00133	CDS	567				hypothetical protein
AOKDPPHH_00134	CDS	1986	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
AOKDPPHH_00135	CDS	294				hypothetical protein
AOKDPPHH_00136	CDS	264				hypothetical protein
AOKDPPHH_00137	CDS	453				hypothetical protein
AOKDPPHH_00138	CDS	627	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
